"ID","Group","Time","Weight"
"1","1",1,240
"2","1",1,225
"3","1",1,245
"4","1",1,260
"5","1",1,255
"6","1",1,260
"7","1",1,275
"8","1",1,245
"9","2",1,410
"10","2",1,405
"11","2",1,445
"12","2",1,555
"13","3",1,470
"14","3",1,535
"15","3",1,520
"16","3",1,510
"1","1",8,250
"2","1",8,230
"3","1",8,250
"4","1",8,255
"5","1",8,260
"6","1",8,265
"7","1",8,275
"8","1",8,255
"9","2",8,415
"10","2",8,420
"11","2",8,445
"12","2",8,560
"13","3",8,465
"14","3",8,525
"15","3",8,525
"16","3",8,510
"1","1",15,255
"2","1",15,230
"3","1",15,250
"4","1",15,255
"5","1",15,255
"6","1",15,270
"7","1",15,260
"8","1",15,260
"9","2",15,425
"10","2",15,430
"11","2",15,450
"12","2",15,565
"13","3",15,475
"14","3",15,530
"15","3",15,530
"16","3",15,520
"1","1",22,260
"2","1",22,232
"3","1",22,255
"4","1",22,265
"5","1",22,270
"6","1",22,275
"7","1",22,270
"8","1",22,268
"9","2",22,428
"10","2",22,440
"11","2",22,452
"12","2",22,580
"13","3",22,485
"14","3",22,533
"15","3",22,540
"16","3",22,515
"1","1",29,262
"2","1",29,240
"3","1",29,262
"4","1",29,265
"5","1",29,270
"6","1",29,275
"7","1",29,273
"8","1",29,270
"9","2",29,438
"10","2",29,448
"11","2",29,455
"12","2",29,590
"13","3",29,487
"14","3",29,535
"15","3",29,543
"16","3",29,530
"1","1",36,258
"2","1",36,240
"3","1",36,265
"4","1",36,268
"5","1",36,273
"6","1",36,277
"7","1",36,274
"8","1",36,265
"9","2",36,443
"10","2",36,460
"11","2",36,455
"12","2",36,597
"13","3",36,493
"14","3",36,540
"15","3",36,546
"16","3",36,538
"1","1",43,266
"2","1",43,243
"3","1",43,267
"4","1",43,270
"5","1",43,274
"6","1",43,278
"7","1",43,276
"8","1",43,265
"9","2",43,442
"10","2",43,458
"11","2",43,451
"12","2",43,595
"13","3",43,493
"14","3",43,525
"15","3",43,538
"16","3",43,535
"1","1",44,266
"2","1",44,244
"3","1",44,267
"4","1",44,272
"5","1",44,273
"6","1",44,278
"7","1",44,271
"8","1",44,267
"9","2",44,446
"10","2",44,464
"11","2",44,450
"12","2",44,595
"13","3",44,504
"14","3",44,530
"15","3",44,544
"16","3",44,542
"1","1",50,265
"2","1",50,238
"3","1",50,264
"4","1",50,274
"5","1",50,276
"6","1",50,284
"7","1",50,282
"8","1",50,273
"9","2",50,456
"10","2",50,475
"11","2",50,462
"12","2",50,612
"13","3",50,507
"14","3",50,543
"15","3",50,553
"16","3",50,550
"1","1",57,272
"2","1",57,247
"3","1",57,268
"4","1",57,273
"5","1",57,278
"6","1",57,279
"7","1",57,281
"8","1",57,274
"9","2",57,468
"10","2",57,484
"11","2",57,466
"12","2",57,618
"13","3",57,518
"14","3",57,544
"15","3",57,555
"16","3",57,553
"1","1",64,278
"2","1",64,245
"3","1",64,269
"4","1",64,275
"5","1",64,280
"6","1",64,281
"7","1",64,284
"8","1",64,278
"9","2",64,478
"10","2",64,496
"11","2",64,472
"12","2",64,628
"13","3",64,525
"14","3",64,559
"15","3",64,548
"16","3",64,569
